model,accuracy,precision,recall,f1,FPR,Detection Rate,total_wrong,num_causal,num_regression,num_plausible,causal_rate,regression_rate,plausible_rate,temp_score
ait_logic_scratch_full_w10_50b50a_20260505_015810,0.8956596926915008,0.6431373013372396,0.9779581081283407,0.6931144075144006,0.11020945935829678,1.0,14722,0,1062,13660,0.0,0.07213693791604402,0.927863062083956,0.6786870199311917
ait_logic_scratch_aug_w10_100b100a_20260505_130202,0.8956596926915008,0.6431373013372396,0.9779581081283407,0.6931144075144006,0.11020945935829678,1.0,14722,0,1062,13660,0.0,0.07213693791604402,0.927863062083956,0.6786870199311917
ait_logic_scratch_aug_w10_30b30a_20260505_125009,0.8956596926915008,0.6431373013372396,0.9779581081283407,0.6931144075144006,0.11020945935829678,1.0,14722,0,1062,13660,0.0,0.07213693791604402,0.927863062083956,0.6786870199311917
ait_logic_scratch_aug_w10_50b50a_20260505_125620,0.8956596926915008,0.6431373013372396,0.9779581081283407,0.6931144075144006,0.11020945935829678,1.0,14722,0,1062,13660,0.0,0.07213693791604402,0.927863062083956,0.6786870199311917
ait_logic_scratch_aug_w10_10b10a_20260505_123537,0.8956596926915008,0.6431373013372396,0.9779581081283407,0.6931144075144006,0.11020945935829678,1.0,14722,0,1062,13660,0.0,0.07213693791604402,0.927863062083956,0.6786870199311917
ait_logic_scratch_reduced_w10_50b50a_20260505_081108,0.8956596926915008,0.6431373013372396,0.9779581081283407,0.6931144075144006,0.11020945935829678,1.0,14722,0,1062,13660,0.0,0.07213693791604402,0.927863062083956,0.6786870199311917
ait_logic_scratch_full_w10_10000b10000a_20260505_023602,0.8956596926915008,0.6431373013372396,0.9779581081283407,0.6931144075144006,0.11020945935829678,1.0,14722,0,1062,13660,0.0,0.07213693791604402,0.927863062083956,0.6786870199311917
ait_logic_scratch_full_w10_20b20a_20260505_014541,0.8956596926915008,0.6431373013372396,0.9779581081283407,0.6931144075144006,0.11020945935829678,1.0,14722,0,1062,13660,0.0,0.07213693791604402,0.927863062083956,0.6786870199311917
ait_logic_scratch_full_w10_500b500a_20260505_021030,0.8956596926915008,0.6431373013372396,0.9779581081283407,0.6931144075144006,0.11020945935829678,1.0,14722,0,1062,13660,0.0,0.07213693791604402,0.927863062083956,0.6786870199311917
ait_logic_scratch_aug_w10_balanced_20260505_150640,0.8956596926915008,0.6431373013372396,0.9779581081283407,0.6931144075144006,0.11020945935829678,1.0,14722,0,1062,13660,0.0,0.07213693791604402,0.927863062083956,0.6786870199311917
ait_logic_scratch_aug_w10_balanced_20260505_115124,0.8956596926915008,0.6431373013372396,0.9779581081283407,0.6931144075144006,0.11020945935829678,1.0,14722,0,1062,13660,0.0,0.07213693791604402,0.927863062083956,0.6786870199311917
ait_logic_scratch_reduced_w10_100b100a_20260505_081840,0.8956596926915008,0.6431373013372396,0.9779581081283407,0.6931144075144006,0.11020945935829678,1.0,14722,0,1062,13660,0.0,0.07213693791604402,0.927863062083956,0.6786870199311917
ait_logic_scratch_full_w10_30b30a_20260505_015032,0.8956596926915008,0.6431373013372396,0.9779581081283407,0.6931144075144006,0.11020945935829678,1.0,14722,0,1062,13660,0.0,0.07213693791604402,0.927863062083956,0.6786870199311917
ait_logic_scratch_aug_w10_20b20a_20260505_124213,0.8956596926915008,0.6431373013372396,0.9779581081283407,0.6931144075144006,0.11020945935829678,1.0,14722,0,1062,13660,0.0,0.07213693791604402,0.927863062083956,0.6786870199311917
ait_logic_scratch_full_w10_100b100a_20260505_020331,0.8956596926915008,0.6431373013372396,0.9779581081283407,0.6931144075144006,0.11020945935829678,1.0,14722,0,1062,13660,0.0,0.07213693791604402,0.927863062083956,0.6786870199311917
ait_logic_scratch_reduced_w10_500b500a_20260505_082634,0.8956596926915008,0.6431373013372396,0.9779581081283407,0.6931144075144006,0.11020945935829678,1.0,14722,0,1062,13660,0.0,0.07213693791604402,0.927863062083956,0.6786870199311917
ait_logic_scratch_reduced_w10_balanced_20260505_065839,0.8956596926915008,0.6431373013372396,0.9779581081283407,0.6931144075144006,0.11020945935829678,1.0,14722,0,1062,13660,0.0,0.07213693791604402,0.927863062083956,0.6786870199311917
ait_logic_scratch_reduced_w10_30b30a_20260505_080424,0.8968787208708964,0.6418280948760292,0.943074748012539,0.6903946442342921,0.10880208411312901,0.9978706414692574,14550,0,1061,13489,0.0,0.07292096219931271,0.9270790378006872,0.6758104517944296
ait_logic_pretrained_reduced_w10_full_20260508_021651,0.988433407042014,0.7935822641848609,0.6107804397809233,0.6631253090992624,0.0037729634232157028,0.8498802235826457,1632,0,56,1576,0.0,0.03431372549019608,0.9656862745098039,0.6562625640012232
ait_logic_scratch_full_w100_10b10a_20260505_043344,0.9562526584432156,0.6084622723253876,0.6076419992319156,0.5672814894725129,0.004043429427180831,0.25019973368841547,6171,0,1,6170,0.0,0.00016204829039053638,0.9998379517096094,0.5672490798144347
ait_logic_scratch_full_w10_10b10a_20260505_014033,0.9562283835119352,0.5852164178818458,0.6049413996188262,0.5523879391661262,0.004005030617897621,0.24926803300505723,6176,0,2,6174,0.0,0.0003238341968911917,0.9996761658031088,0.5523231723267479
ait_logic_scratch_reduced_w10_20b20a_20260505_075835,0.9467454782559392,0.18934909565118785,0.2,0.19452886652735205,0.0,0.0,7500,0,0,7500,0.0,0.0,1.0,0.19452886652735205
ait_logic_scratch_reduced_w10_10b10a_20260505_074955,0.9467454782559392,0.18934909565118785,0.2,0.19452886652735205,0.0,0.0,7500,0,0,7500,0.0,0.0,1.0,0.19452886652735205
